name,username,license,tags,freesound_id,path
Male_Scream_3.wav,tonsil5,http://creativecommons.org/publicdomain/zero/1.0/,"['frightened', 'scared', 'acting', 'yell', 'loud', 'scream']",416543,files/416543_8247784-hq.ogg
screaming_male_effort&laugh.mp3,GabrielaUPF,http://creativecommons.org/licenses/by/3.0/,"['666moviescreams', 'Screaming', 'Grito', 'Gritando', 'Esfuerzo', 'Cridant', 'Hombre', 'Crit', 'Home', 'Male', 'Effort', 'Scream', 'Esfor']",220286,files/220286_4102374-hq.ogg
Scream 2.mp3,HiddenBandKid,http://creativecommons.org/licenses/by/3.0/,"['screaming', 'yell', 'shout', 'horror', 'scream']",572496,files/572496_12522405-hq.ogg
JirkaScream 2,Kalibrk,http://creativecommons.org/publicdomain/zero/1.0/,"['yell', 'shout', 'scream']",339308,files/339308_3618969-hq.ogg
FL_Scream 1.wav,Lithe-Fider,http://creativecommons.org/licenses/by/3.0/,"['funny', 'retard', 'scream']",9703,files/9703_28194-hq.ogg
Gurgled Scream,jacksonacademyashmore,http://creativecommons.org/publicdomain/zero/1.0/,"['Yell', 'Gurgled', 'Shout', 'Scream']",402861,files/402861_6938106-hq.ogg
Short scream sfx.wav,NiGo.13,http://creativecommons.org/publicdomain/zero/1.0/,"['People', 'Pain', 'Scream']",697439,files/697439_15129210-hq.ogg
Long_scream.wav,plagasul,https://creativecommons.org/licenses/by/4.0/,"['male', 'scream']",79,files/79_23-hq.ogg
Panic-stricken screaming #1,Klangkobold,http://creativecommons.org/publicdomain/zero/1.0/,"['afraid', 'fearful', 'panic', 'scared', 'panicking', 'fear', 'yell', 'frightened', 'scream', 'fearing', 'horror', 'cry', 'frightful', 'terror']",547961,files/547961_6229882-hq.ogg
00927 man scream 1.wav,Robinhood76,https://creativecommons.org/licenses/by-nc/4.0/,"['loud', 'male', 'man', 'scream']",68470,files/68470_321967-hq.ogg
Screaming2.wav,owly-bee,https://creativecommons.org/licenses/by/4.0/,"['afraid', 'frightened', 'screaming', 'scared', 'fear', 'shriek', 'scream']",415353,files/415353_6044691-hq.ogg
Scream 02,adriancalzon,http://creativecommons.org/licenses/by/3.0/,"['scary', '666moviescreams', 'horror', 'terror', 'fear', 'scream', 'film']",220619,files/220619_3505274-hq.ogg
scream 4.wav,timtube,https://creativecommons.org/licenses/by-nc/4.0/,"['scary', 'scream']",61034,files/61034_718003-hq.ogg
Girl Screaming_05.wav,tomattka,http://creativecommons.org/publicdomain/zero/1.0/,"['woman', 'scared', 'horror', 'vocal', 'shout', 'female', 'girl', 'voice', 'frightened', 'scream', 'fear']",400181,files/400181_6351775-hq.ogg
wilhelm_scream.wav,Syna-Max,https://creativecommons.org/licenses/by-nc/4.0/,"['ben-burtt', 'indiana-jones', 'scream', 'star-wars', 'wilhelm']",64939,files/64939_111920-hq.ogg
