freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f40,574234__kbrecordzz__groove-metal-break-6.wav,167680,171872,0.0028412458095841736,-754.2039,183.88702,17.773499,49.94608,7.784353,15.408444,3.5038962,-4.2614784,3.03846,4.2436266,-4.8731422,-7.631706,3.5786116
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f41,574234__kbrecordzz__groove-metal-break-6.wav,171872,176064,0.00768924669455026,-570.23004,130.15977,-0.82324326,45.609814,8.521912,14.618603,8.640511,0.8528097,-2.8850331,-4.7400856,-4.705222,-5.210079,2.818111
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f42,574234__kbrecordzz__groove-metal-break-6.wav,176064,180256,0.004605073965232791,-741.5107,179.94473,29.264885,49.921436,6.530215,20.802593,12.588666,3.342544,4.2583013,-2.0985305,-6.6646624,-3.9362829,-0.7318424
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f43,574234__kbrecordzz__groove-metal-break-6.wav,180256,184448,0.013894121155484032,-509.9061,132.81854,12.342925,33.444828,8.3232975,15.8684435,9.106538,0.47108525,7.4012766,3.0901346,10.442763,1.7418948,6.850832
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f44,574234__kbrecordzz__groove-metal-break-6.wav,184448,188640,0.00600215860905538,-556.08276,108.19702,0.34793523,38.912872,1.3107015,14.049737,10.49262,2.6498175,2.587004,-7.7954025,-6.307374,-5.828137,5.5385427
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f45,574234__kbrecordzz__groove-metal-break-6.wav,188640,192832,0.006834681707484121,-557.31573,111.56603,2.6271296,38.582264,3.0148013,15.48696,6.71079,-1.557289,-5.3623214,-8.337875,-0.21778068,-3.384223,-2.3161197
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f46,574234__kbrecordzz__groove-metal-break-6.wav,192832,197024,0.004797335799413783,-686.3349,167.81007,9.590612,52.166794,13.85741,18.227287,9.838891,2.9217036,-2.104781,-2.1454911,-5.1216035,-4.149492,8.607723
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f47,574234__kbrecordzz__groove-metal-break-6.wav,197024,201216,0.012030942749431115,-569.5874,124.68874,8.046292,36.66535,0.48074102,21.836514,7.980833,-9.170891,0.010553691,-6.4580855,-2.5428207,-5.542879,3.1960356
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f48,574234__kbrecordzz__groove-metal-break-6.wav,201216,205408,0.006025201036729886,-633.1185,159.61845,-12.193733,48.336143,7.056765,19.27506,12.128077,6.497494,2.0511255,3.9380076,0.021380201,-3.6775162,2.723552
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f49,574234__kbrecordzz__groove-metal-break-6.wav,205408,209600,0.00583390379680022,-667.9285,142.96913,38.105347,43.52382,4.5795903,8.548003,-4.726131,1.5589124,9.560428,0.9182933,-0.96920884,-7.9760942,7.3710337
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f50,574234__kbrecordzz__groove-metal-break-6.wav,209600,213792,0.0063331814212653475,-576.4032,118.97173,10.409725,32.95403,11.177092,11.693434,12.58317,1.955586,5.8129272,-2.025317,1.7250446,-2.5054877,2.798895
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f51,574234__kbrecordzz__groove-metal-break-6.wav,213792,217984,0.007444439953520098,-610.4235,143.39241,-5.026309,54.841213,12.12191,13.039353,12.244893,7.331363,7.8341146,3.0346992,1.9975805,-3.4712515,0.2683157
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f52,574234__kbrecordzz__groove-metal-break-6.wav,217984,222176,0.012959626794771384,-587.4452,142.56775,-0.5071895,52.44083,12.216528,18.857716,8.653883,8.313169,3.8201687,0.3991234,1.2921997,-0.7890566,5.5653024
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f53,574234__kbrecordzz__groove-metal-break-6.wav,222176,226368,0.005750253455329487,-752.80255,186.55943,25.275545,60.7509,14.338175,22.410288,8.724743,3.8928769,7.6213264,3.267168,-5.164233,-7.0161614,-1.4676797
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f54,574234__kbrecordzz__groove-metal-break-6.wav,226368,230560,0.007822352511282186,-564.569,134.03804,-5.9965553,45.39945,4.267767,15.642184,12.767806,-0.118534654,-7.0970664,-3.059282,-1.7535499,-7.52129,-2.0986948
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f55,574234__kbrecordzz__groove-metal-break-6.wav,230560,234752,0.00427293868465278,-726.67035,180.04779,15.916684,53.49472,13.084393,19.190783,7.9244995,0.48895967,3.124447,-1.3204038,-6.800105,-7.1597347,-2.3995383
